areaId,lon,lat,X,Y,ad2,malabo,pop,prall_map,pre_map,prt_map,te_map,to_map,clusId,n,pf,pffv,pftto,to,ti_ban,ti_mal,ti_lub,ti_ria,ti_mok,ti_ure
152,8.72028208177194,3.77262656733958,468941.2744,416999.623,Peri,non-Malabo,1,0.300000012,0.52700001,0.185000002,0.101000004,0.141000003,,2,0,0,0,0,0,0,0,0,0,0
153,8.72927530214895,3.77262656734786,469939.8521,416999.3074,Peri,non-Malabo,69,0.300000012,0.52700001,0.185000002,0.066,0.123000003,,28,3,1,0,5,0,0,0,0,0,0
207,8.6843092001105,3.76363334719711,464946.5958,416006.9094,Peri,non-Malabo,59,0.239999995,0.518999994,0.428000003,0.097999997,0.104000002,,25,6,1,1,3,0,0,4,1,0,0
209,8.70229564089642,3.76363334691647,466943.7773,416006.2076,Peri,non-Malabo,47,0.252999991,0.552999973,0.421000004,0.075999998,0.090000004,,5,1,0,0,0,0,0,0,0,0,0
211,8.72028208187457,3.76363334694125,468940.9555,416005.547,Peri,non-Malabo,245,0.245000005,0.49000001,0.414999992,0.088,0.101999998,1,83,31,8,3,17,0,0,2,0,0,0
212,8.72927530238957,3.76363334669592,469939.5435,416005.2321,Peri,non-Malabo,39,0.245000005,0.49000001,0.414999992,0.057,0.100000001,,21,1,0,0,1,0,0,0,0,0,0
218,8.78323462523751,3.76363334688417,475931.0565,416003.559,Peri,non-Malabo,691,0.071999997,0.179000005,0.127000004,0.152999997,0.216000006,,98,18,0,0,24,0,0,2,0,0,0
219,8.79222784573929,3.76363334698411,476929.6398,416003.3162,Peri,non-Malabo,3185,0.086999997,0.221000001,0.143999994,0.054000001,0.071999997,,705,73,8,3,76,14,2,9,4,2,1
220,8.80122106603654,3.76363334700526,477928.2225,416003.0837,Peri,non-Malabo,3384,0.114,0.243000001,0.179000005,0.075999998,0.107000001,,882,29,1,1,71,34,1,25,0,4,0
270,8.7202820818856,3.75464012640934,468940.6373,415011.4712,Peri,non-Malabo,43,0.153999999,0.282000005,0.219999999,0.066,0.079999998,,23,2,0,0,1,0,0,0,0,0,0
271,8.72927530203804,3.75464012654322,469939.2355,415011.1571,Peri,non-Malabo,47,0.112999998,0.282999992,0.144999996,0.108999997,0.196999997,,15,1,0,0,4,0,0,0,0,0,0
272,8.73826852272376,3.75464012654613,470937.8329,415010.8533,Malabo,Malabo,247,0.140000001,0.248999998,0.104999997,0.082999997,0.147,,28,4,0,0,7,0,0,0,0,0,0
273,8.74726174327124,3.75464012668961,471936.4297,415010.5597,Malabo,Malabo,302,0.173999995,0.287,0.319000006,0.186000004,0.219999999,,74,14,1,1,20,0,0,0,0,0,0
