"Cutoffs","AIC Far","AIC Near","Residual Far","Residual Near","AIC Sum","Residual Sum"
0,4286.6827407331,8,486797.071329772,0,4286.6827407331,486797.071329772
10,3426.68154034947,657.006667438599,320354.869853438,36402.4732566563,4075.68820778807,356757.343110094
20,2939.82480653894,981.103231083548,145969.670164158,52390.2519513118,3912.92803762248,198359.92211547
30,2574.72234167233,1356.98632722553,135291.989061,65148.03795887,3923.70866889786,200440.02701987
40,1730.49968141181,2290.70580493671,135368.619178855,111203.57492754,4013.20548634852,246572.194106396
50,1152.82531744664,2877.36054989389,102856.255999917,158937.088325485,4022.18586734053,261793.344325402
60,1108.54967914532,2934.28409187315,98325.1247140194,177672.617729607,4034.83377101848,275997.742443627
100,1095.39474734713,2946.65594352433,97683.7641915256,181083.082014918,4034.05069087146,278766.846206444
150,1095.39474734713,2946.65594352433,97683.7641915256,181083.082014918,4034.05069087146,278766.846206444
200,1095.39474734713,2946.65594352433,97683.7641915256,181083.082014918,4034.05069087146,278766.846206444
