"Cutoffs","AIC Far","AIC Near","Residual Far","Residual Near","AIC Sum","Residual Sum"
0,4186.55066278702,24,431947.785010104,0,4186.55066278702,431947.785010104
10,3381.18987758203,626.817129483488,202644.147455296,33387.4730815937,3984.00700706552,236031.62053689
20,2937.63575404787,964.438826687065,133730.998115983,43412.9085717401,3878.07458073494,177143.906687723
30,2574.52308177755,1329.94647705368,130963.005451136,52008.2973896246,3880.46955883123,182971.30284076
40,1727.53950472296,2226.99527145876,111226.567816512,126534.598260374,3930.53477618171,237761.166076886
50,1142.54521538191,2822.80402979654,77788.8372660239,130928.898728701,3941.34924517845,208717.735994724
60,1091.79159866723,2882.52619076124,85627.6433177283,138556.165619703,3950.31778942847,224183.808937432
100,1072.15245490011,2895.0587920198,76747.6719716417,141793.322014606,3943.21124691991,218540.993986248
150,1072.15245490011,2895.0587920198,76747.6719716417,141793.322014606,3943.21124691991,218540.993986248
200,1072.15245490011,2895.0587920198,76747.6719716417,141793.322014606,3943.21124691991,218540.993986248
