"Cutoffs","AIC Far","AIC Near","Residual Far","Residual Near","AIC Sum","Residual Sum"
0,4197.81132009919,8,1549853.9457532,0,4197.81132009919,1549853.9457532
10,3286.02110634216,638.471192682572,586498.25300666,38685.0970217904,3916.49229902473,625183.350028451
20,2912.53616703596,964.037585376031,216926.413820928,48987.4294687261,3868.573752412,265913.843289654
30,2557.0120833061,1331.71619221061,192687.388068064,59550.9586948501,3880.72827551671,252238.346762915
40,1718.98019438301,2240.42830014346,184061.013344392,138797.286798051,3951.40849452647,322858.300142443
50,1142.27100043484,2813.59355991816,136342.929032074,202416.683355531,3947.864560353,338759.612387605
60,1098.82588235673,2866.77742489415,128410.577975952,235439.185083818,3957.60330725088,363849.76305977
100,1087.86718183358,2878.28756667146,126616.123358147,239856.962340458,3958.15474850504,366473.085698606
150,1087.86718183358,2878.28756667146,126616.123358147,239856.962340458,3958.15474850504,366473.085698606
200,1087.86718183358,2878.28756667146,126616.123358147,239856.962340458,3958.15474850504,366473.085698606
