"Cutoffs","AIC Far","AIC Near","Residual Far","Residual Near","AIC Sum","Residual Sum"
0,12917.2850264721,8,296771.387497816,0,12917.2850264721,296771.387497816
10,7653.28207847216,1774.32794501837,212464.921875668,32485.5802260139,9419.61002349053,244950.502101681
20,5045.01516925831,2607.12425122078,147151.55420371,41982.1582181223,7644.13942047909,189133.712421832
30,4323.04547750182,3347.1365361667,134910.121284942,51302.3103455297,7662.18201366853,186212.431630471
40,2944.37996836821,5734.56000725192,112382.08036007,89014.883089177,8670.93997562013,201396.963449247
50,1829.43088325148,6917.57105858851,86712.0442062063,113146.841648893,8739.00194183999,199858.885855099
60,1777.12240037882,7112.28631761811,84623.530681308,117083.460323285,8881.40871799693,201706.991004593
100,1763.86829110202,7132.69307995211,84619.3399911796,117252.519694483,8888.56137105412,201871.859685663
150,1763.86829110202,7132.69307995211,84619.3399911796,117252.519694483,8888.56137105412,201871.859685663
200,1763.86829110202,7132.69307995211,84619.3399911796,117252.519694483,8888.56137105412,201871.859685663
