"Cutoffs","AIC Far","AIC Near","Residual Far","Residual Near","AIC Sum","Residual Sum"
0,11608.6683995191,24,297971.060925382,0,11608.6683995191,297971.060925382
10,6249.39616338395,1222.17748925427,153911.914222216,19234.8422542115,7447.57365263822,173146.756476428
20,4648.22447411617,1969.63271147701,122768.260631557,31007.7122043349,6593.85718559318,153775.972835892
30,4095.18564244081,2658.09511111037,116434.54249516,36596.3048547357,6729.28075355118,153030.847349896
40,2735.71255256169,5027.71473981441,96114.7714788267,75871.824351216,7739.42729237609,171986.595830043
50,1643.33362521625,6440.49217612377,74891.9470414964,101629.202369953,8059.82580134002,176521.149411449
60,1561.0941630416,6553.87730186506,74677.3629460606,102089.746224702,8090.97146490666,176767.109170762
100,1536.30479924915,6577.89809105911,77259.6767224474,102248.891572667,8090.20289030825,179508.568295115
150,1536.30479924915,6577.89809105911,77259.6767224474,102248.891572667,8090.20289030825,179508.568295115
200,1536.30479924915,6577.89809105911,77259.6767224474,102248.891572667,8090.20289030825,179508.568295115
