distance_negbin,,,,,,,,,time_negbin,,,,,,,
,Cutoffs,AIC Far,AIC Near,Residual Far,Residual Near,AIC Sum,Residual Sum,,,Cutoffs,AIC Far,AIC Near,Residual Far,Residual Near,AIC Sum,Residual Sum
,0,4286.68274,8,486797.071,0,4286.68274,486797.071,,,0,4272.76724,8,764571.15,0,4272.76724,764571.15
,10,3426.68154,657.006667,320354.87,36402.4733,4075.68821,356757.343,,,50,3017.36888,1101.90547,285605.609,69676.1131,4111.27434,355281.722
,20,2939.82481,981.103231,145969.67,52390.252,3912.92804,198359.922,,,100,1486.36001,2654.93412,189834.343,161682.787,4133.29413,351517.13
,30,2574.72234,1356.98633,135291.989,65148.038,3923.70867,200440.027,,,150,697.87984,3475.50361,20257.7841,13662725,4165.38345,13682982.7
,40,1730.49968,2290.7058,135368.619,111203.575,4013.20549,246572.194,,,200,264.548399,4019.85789,9377.81961,515894.729,4276.40629,525272.549
,50,1152.82532,2877.36055,102856.256,158937.088,4022.18587,261793.344,,,,,,,,,
,60,1108.54968,2934.28409,98325.1247,177672.618,4034.83377,275997.742,,,,,,,,,
,100,1095.39475,2946.65594,97683.7642,181083.082,4034.05069,278766.846,,,,,,,,,
,150,1095.39475,2946.65594,97683.7642,181083.082,4034.05069,278766.846,,,,,,,,,
,200,1095.39475,2946.65594,97683.7642,181083.082,4034.05069,278766.846,,,,,,,,,
,,,,,,,,,,,,,,,,
distance_negbin_covs,,,,,,,,,time_negbin_covs,,,,,,,
,Cutoffs,AIC Far,AIC Near,Residual Far,Residual Near,AIC Sum,Residual Sum,,,Cutoffs,AIC Far,AIC Near,Residual Far,Residual Near,AIC Sum,Residual Sum
,0,4186.550663,24,431947.785,0,4186.550663,431947.785,,,0,4187.59932,24,454216.677,0,4187.59932,454216.677
,10,3381.189878,626.8171295,202644.1475,33387.47308,3984.007007,236031.6205,,,50,2895.81514,1083.58317,154813.302,46678.4331,3955.3983,201491.735
,20,2937.635754,964.4388267,133730.9981,43412.90857,3878.074581,177143.9067,,,100,1367.58868,2617.82531,85505.4524,132266.239,3961.414,217771.692
,30,2574.523082,1329.946477,130963.0055,52008.29739,3880.469559,182971.3028,,,150,684.628452,3395.12247,24609.0032,2059565.14,4055.75093,2084174.14
,40,1727.539505,2226.995271,111226.5678,126534.5983,3930.534776,237761.1661,,,200,program crashed,,,,,
,50,1142.545215,2822.80403,77788.83727,130928.8987,3941.349245,208717.736,,,,,,,,,
,60,1091.791599,2882.526191,85627.64332,138556.1656,3950.317789,224183.8089,,,,,,,,,
,100,1072.152455,2895.058792,76747.67197,141793.322,3943.211247,218540.994,,,,,,,,,
,150,1072.152455,2895.058792,76747.67197,141793.322,3943.211247,218540.994,,,,,,,,,
