areaId,N1,w_total,Peri,Malabo,Baney,Luba,Riaba,Moka,Ureka,N2.ti_mal,N2.ti_ban,N2.ti_lub,N2.ti_ria,N2.ti_mok,N2.ti_ure,N2.to,t.ti_mal,t.ti_ban,t.ti_lub,t.ti_ria,t.ti_mok,t.ti_ure,t.to,t_mal,to,ti_ban,ti_mal,ti_lub,ti_ria,ti_mok,ti_ure,d.to,d.ti_ban,d.ti_mal,d.ti_lub,d.ti_ria,d.ti_mok,d.ti_ure,d_mal
152,1,0,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,10.008532525046,24.6969906399189,74.6476979171053,78.4792795269231,95.644231724,126.0802031,150.008532525046,10.008532525046,0,0,0,0,0,0,0,242541.665108879,13723.4554519942,7055.64999627052,38360.3887244453,39294.7551053531,47257.8908354543,59571.4711679112,7055.64999627052
153,69,5,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,11.5072316869195,26.2535799813514,76.2042872602631,80.035868865,97.20082105,127.6367924,151.50723168692,11.5072316869195,5,0,0,0,0,0,0,241684.184996917,12808.6891469927,6198.16988430894,38808.9863246388,39193.1669780445,47407.2701658802,59830.48487894,6198.16988430894
207,59,8,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,15.0111281713333,30.4266898172973,79.1900856594737,83.7244521134615,100.186619448,130.6225908,155.011128171333,15.0111281713333,3,0,0,4,1,0,0,245947.459278106,17198.2749696267,10461.4441654982,35853.2305160583,38978.1928663553,45876.4000421722,57717.9906175714,10461.4441654982
209,47,0,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,10.1100739505632,25.3812057720541,74.4181664713158,78.79074562,95.414700254,125.8506716,150.110073950563,10.1100739505632,0,0,0,0,0,0,0,244015.426287168,15273.4227659358,8529.41117455979,36615.922229858,38592.5706241321,46032.1569204204,58131.3356778514,8529.41117455979
211,245,19,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,8.68765897749425,23.3147522806757,73.2654595602632,77.0970411642308,94.26199335,124.6979647,148.687658977494,8.68765897749425,17,0,0,2,0,0,0,242122.098517453,13369.821722077,6636.0834048446,37469.6877309144,38307.3638996113,46273.7080859415,58609.8965433481,6636.0834048446
212,39,1,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,9.84146775650575,24.0627247508108,74.9727357955263,78.1583526015385,95.96926961,126.405241,149.841467756506,9.84146775650575,1,0,0,0,0,0,0,241202.010476182,12429.0457234136,5715.99536357374,37928.8267694815,38203.1498706049,46426.2564667952,58873.1442688621,5715.99536357374
218,691,26,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,10.2764935855517,19.9652174254595,77.9814325571053,74.8963677730769,98.977966348,129.4139377,150.276493585552,10.2764935855517,24,0,0,2,0,0,0,238008.928904904,7123.12895920105,2522.91379229575,41087.729942394,38125.2896169467,47771.8070783908,60774.2980602232,2522.91379229575
219,3185,108,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,11.2162886181264,18.1328270248378,79.8102856731579,73.0527375488462,100.806819454,131.2427908,151.216288618126,11.2162886181264,76,14,2,9,4,2,1,238479.488893046,6358.39141699118,2993.47378043828,41674.7526574683,38203.7976566721,48065.0986824652,61142.5454545425,2993.47378043828
220,3384,135,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,11.908066565069,18.8173274088649,80.5334459026316,73.7758977807692,101.529979714,131.9659511,151.908066565069,11.908066565069,71,34,1,25,0,4,0,239167.191526763,5666.89927994363,3681.17641415458,42277.2215508896,38308.1938754266,48377.2377597351,61524.8071937786,3681.17641415458
270,43,1,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,7.86367387514942,22.4987040074865,72.2978928863158,76.2168889561539,93.294426684,123.730398,147.863673875149,7.86367387514942,1,0,0,0,0,0,0,241831.830688887,13082.3313759397,6345.81557627907,36584.3133757846,37320.3277320009,45289.9577762837,57649.4248557251,6345.81557627907
