"admin4Id","areaId","admin2","ad4.X","ad4.Y","w","ad2.X","ad2.Y","ad2.pop","aid.pop","aid.X","aid.Y","d2","d1","ad4.pop"
"L001",337,"Malabo",476034.937158692,414354.314310981,1,474656.387942084,413489.949758617,189560,15012,476929.1677,414015.1754,956.380396050734,2332.67867533397,1826.51385227247
"L001",1321,"Malabo",476034.937158692,414354.314310981,1,474656.387942084,413489.949758617,189560,246,457948.4245,397122.0967,24981.4183733674,23389.3705800413,1826.51385227247
"L001",336,"Malabo",476034.937158692,414354.314310981,1,474656.387942084,413489.949758617,189560,17457,475930.564,414015.4171,354.605521482667,1378.27448406548,1826.51385227247
"L001",335,"Malabo",476034.937158692,414354.314310981,1,474656.387942084,413489.949758617,189560,19485,474931.9596,414015.669,1153.79380377375,593.565884638585,1826.51385227247
"L001",278,"Malabo",476034.937158692,414354.314310981,4,474656.387942084,413489.949758617,189560,13054,476929.4035,415009.2457,1108.60505142994,2734.01899847646,1826.51385227247
"L001",2324,"Malabo",476034.937158692,414354.314310981,1,474656.387942084,413489.949758617,189560,276,457941.5747,380222.7313,38630.7484252775,37230.2673330598,1826.51385227247
"L001",1175,"Malabo",476034.937158692,414354.314310981,2,474656.387942084,413489.949758617,189560,403,488910.8174,400096.1811,19211.524006455,19559.6983118669,1826.51385227247
"L002",2252,"Luba",460088.58524553,393137.56525232,1,454405.650260343,382376.876239581,7178,602,444955.6301,381222.7701,19260.5471095289,9520.2332961073,15.8421052631579
"L003",395,"Malabo",476470.353122295,414505.763294971,1,474656.387942084,413489.949758617,189560,15397,475930.3186,413021.3464,1579.59830442596,1357.38293376808,3875.04106534247
"L003",2457,"Malabo",476470.353122295,414505.763294971,1,474656.387942084,413489.949758617,189560,180,472925.2328,378229.7165,36448.8607389926,35302.7045363106,3875.04106534247
"L003",794,"Malabo",476470.353122295,414505.763294971,2,474656.387942084,413489.949758617,189560,26,461946.961,406067.231,16796.9564514288,14718.2297497253,3875.04106534247
"L003",451,"Malabo",476470.353122295,414505.763294971,2,474656.387942084,413489.949758617,189560,3833,472934.1979,412028.0587,4317.8019658272,2258.99623911113,3875.04106534247
"L003",2028,"Malabo",476470.353122295,414505.763294971,1,474656.387942084,413489.949758617,189560,28,456944.654,385193.5332,35220.1612624772,33382.521014656,3875.04106534247
"L003",335,"Malabo",476470.353122295,414505.763294971,2,474656.387942084,413489.949758617,189560,19485,474931.9596,414015.669,1614.57333292759,593.565884638585,3875.04106534247
"L003",2918,"Malabo",476470.353122295,414505.763294971,1,474656.387942084,413489.949758617,189560,398,461933.8505,370280.4836,46553.0372004491,45043.5447614628,3875.04106534247
"L003",277,"Malabo",476470.353122295,414505.763294971,4,474656.387942084,413489.949758617,189560,11034,475930.81,415009.488,738.136409664145,1983.21659148156,3875.04106534247
"L003",2252,"Malabo",476470.353122295,414505.763294971,10,474656.387942084,413489.949758617,189560,602,444955.6301,381222.7701,45835.961898802,43855.5116207255,3875.04106534247
"L003",394,"Malabo",476470.353122295,414505.763294971,2,474656.387942084,413489.949758617,189560,13462,474931.7041,413021.5977,2137.7998800411,543.279520707583,3875.04106534247
"L003",279,"Malabo",476470.353122295,414505.763294971,9,474656.387942084,413489.949758617,189560,10886,477927.9965,415009.0137,1542.07171906188,3607.07330314175,3875.04106534247
"L003",2083,"Malabo",476470.353122295,414505.763294971,1,474656.387942084,413489.949758617,189560,302,452948.5788,384201.1677,38361.9913644181,36456.2989375817,3875.04106534247
"L003",2198,"Malabo",476470.353122295,414505.763294971,5,474656.387942084,413489.949758617,189560,848,449950.8711,382214.3772,41785.3627801087,39856.2918659504,3875.04106534247
"L003",2635,"Malabo",476470.353122295,414505.763294971,1,474656.387942084,413489.949758617,189560,35,473923.4631,375247.2734,39341.0177501702,38249.6990039669,3875.04106534247
"L003",278,"Malabo",476470.353122295,414505.763294971,2,474656.387942084,413489.949758617,189560,13054,476929.4035,415009.2457,681.338228375113,2734.01899847646,3875.04106534247
"L003",511,"Malabo",476470.353122295,414505.763294971,1,474656.387942084,413489.949758617,189560,2095,473932.5594,411033.7161,4300.64049892843,2560.66623050693,3875.04106534247
"L003",333,"Malabo",476470.353122295,414505.763294971,1,474656.387942084,413489.949758617,189560,1881,472934.7491,414016.2036,3569.33670272297,1800.27314820376,3875.04106534247
"L003",453,"Malabo",476470.353122295,414505.763294971,6,474656.387942084,413489.949758617,189560,2600,474931.4491,412027.5267,2917.17024023073,1488.06580599402,3875.04106534247
"L003",2400,"Malabo",476470.353122295,414505.763294971,2,474656.387942084,413489.949758617,189560,62,474923.3797,379223.2923,35316.3685318898,34267.6975880345,3875.04106534247
"L003",339,"Malabo",476470.353122295,414505.763294971,2,474656.387942084,413489.949758617,189560,3051,478926.3735,414014.7227,2504.62711029286,4302.11149376872,3875.04106534247
