"admin2","admin4Id","areaId","ad4.X","ad4.Y","w","ad2.X","ad2.Y","aid.X","aid.Y","d2","d1","aid.pop","ad4.pop","ad2.pop"
"Baney","L010",1524,483096.115732974,393158.897366726,1,484180.090192218,408103.75112541,483916.1752,394132.4736,1272.92898916487,13973.7699571425,165,157,32593
"Baney","L010",1407,483096.115732974,393158.897366726,1,484180.090192218,408103.75112541,484915.268,396120.4468,3475.64238902029,12005.8347883203,233,157,32593
"Baney","L011",508,484298.922398562,395006.974251493,5,484180.090192218,408103.75112541,470936.6492,411034.5579,20867.0501663003,13563.8621957145,681,80,32593
"Baney","L019",279,487382.601770418,408721.276273077,7,484180.090192218,408103.75112541,477927.9965,415009.0137,11354.5234496809,9315.11281522144,9281,635,32593
"Baney","L019",1116,487382.601770418,408721.276273077,3,484180.090192218,408103.75112541,488910.9269,401090.2436,7782.57266970732,8459.9115695545,224,635,32593
"Baney","L019",337,487382.601770418,408721.276273077,1,484180.090192218,408103.75112541,476929.1677,414015.1754,11717.4934107352,9355.25595279793,13708,635,32593
"Baney","L019",398,487382.601770418,408721.276273077,2,484180.090192218,408103.75112541,478926.1587,413020.6537,9486.62614749647,7195.81316134092,5145,635,32593
"Baney","L019",792,487382.601770418,408721.276273077,1,484180.090192218,408103.75112541,459949.5682,406068.0166,27561.0434811252,24315.8880379328,217,635,32593
"Baney","L019",1407,487382.601770418,408721.276273077,1,484180.090192218,408103.75112541,484915.268,396120.4468,12840.1183539797,12005.8347883203,233,635,32593
"Baney","L019",394,487382.601770418,408721.276273077,1,484180.090192218,408103.75112541,474931.7041,413021.5977,13172.6085941276,10474.6293605995,12493,635,32593
"Baney","L019",2918,487382.601770418,408721.276273077,1,484180.090192218,408103.75112541,461933.8505,370280.4836,46101.339270764,43880.4597371349,306,635,32593
"Baney","L019",219,487382.601770418,408721.276273077,3,484180.090192218,408103.75112541,476929.6398,416003.3162,12739.4081280222,10722.5071348866,2666,635,32593
"Baney","L019",338,487382.601770418,408721.276273077,5,484180.090192218,408103.75112541,477927.7709,414014.9439,10835.90068857,8604.28361632759,6229,635,32593
"Baney","L019",1524,487382.601770418,408721.276273077,7,484180.090192218,408103.75112541,483916.1752,394132.4736,14994.9750450633,13973.7699571425,165,635,32593
"Baney","L019",277,487382.601770418,408721.276273077,2,484180.090192218,408103.75112541,475930.81,415009.488,13064.6523671944,10758.2445348109,9718,635,32593
"Baney","L019",333,487382.601770418,408721.276273077,1,484180.090192218,408103.75112541,472934.7491,414016.2036,15387.5502333384,12704.9120636313,2127,635,32593
"Baney","L019",396,487382.601770418,408721.276273077,2,484180.090192218,408103.75112541,476928.9325,413021.1053,11303.4388960201,8761.25903941697,5486,635,32593
