"w","N1","N2","d","t"
0,1,1071785,242945.868025982,150.008532525046
0,1,27025,13723.4554519942,24.6969906399189
0,1,189560,7055.64999627052,10.008532525046
0,1,6434,38360.3887244453,74.6476979171053
0,1,2187,39294.7551053531,78.4792795269231
0,1,680,47257.8908354543,95.644231724
0,1,64,59571.4711679112,126.0802031
5,69,1071785,242025.163854664,151.50723168692
0,69,27025,12808.6891469927,26.2535799813514
0,69,189560,6198.16988430894,11.5072316869195
0,69,6434,38808.9863246388,76.2042872602631
0,69,2187,39193.1669780445,80.035868865
0,69,680,47407.2701658802,97.20082105
0,69,64,59830.48487894,127.6367924
3,59,1071785,246601.750380136,155.011128171333
0,59,27025,17198.2749696267,30.4266898172973
0,59,189560,10461.4441654982,15.0111281713333
4,59,6434,35853.2305160583,79.1900856594737
1,59,2187,38978.1928663553,83.7244521134615
0,59,680,45876.4000421722,100.186619448
0,59,64,57717.9906175714,130.6225908
0,47,1071785,244624.984086546,150.110073950563
0,47,27025,15273.4227659358,25.3812057720541
0,47,189560,8529.41117455979,10.1100739505632
0,47,6434,36615.922229858,74.4181664713158
0,47,2187,38592.5706241321,78.79074562
0,47,680,46032.1569204204,95.414700254
0,47,64,58131.3356778514,125.8506716
17,245,1071785,242661.615194785,148.687658977494
0,245,27025,13369.821722077,23.3147522806757
0,245,189560,6636.0834048446,8.68765897749425
2,245,6434,37469.6877309144,73.2654595602632
0,245,2187,38307.3638996113,77.0970411642308
0,245,680,46273.7080859415,94.26199335
0,245,64,58609.8965433481,124.6979647
1,39,1071785,241689.799040764,149.841467756506
0,39,27025,12429.0457234136,24.0627247508108
0,39,189560,5715.99536357374,9.84146775650575
0,39,6434,37928.8267694815,74.9727357955263
0,39,2187,38203.1498706049,78.1583526015385
0,39,680,46426.2564667952,95.96926961
0,39,64,58873.1442688621,126.405241
24,691,1071785,238254.121426408,150.276493585552
0,691,27025,7123.12895920105,19.9652174254595
0,691,189560,2522.91379229575,10.2764935855517
2,691,6434,41087.729942394,77.9814325571053
0,691,2187,38125.2896169467,74.8963677730769
0,691,680,47771.8070783908,98.977966348
0,691,64,60774.2980602232,129.4139377
76,3185,1071785,239016.296556139,151.216288618126
14,3185,27025,6358.39141699118,18.1328270248378
2,3185,189560,2993.47378043828,11.2162886181264
9,3185,6434,41674.7526574683,79.8102856731579
4,3185,2187,38203.7976566721,73.0527375488462
2,3185,680,48065.0986824652,100.806819454
1,3185,64,61142.5454545425,131.2427908
71,3384,1071785,239906.608349693,151.908066565069
34,3384,27025,5666.89927994363,18.8173274088649
1,3384,189560,3681.17641415458,11.908066565069
25,3384,6434,42277.2215508896,80.5334459026316
0,3384,2187,38308.1938754266,73.7758977807692
4,3384,680,48377.2377597351,101.529979714
0,3384,64,61524.8071937786,131.9659511
1,43,1071785,242532.183065332,147.863673875149
0,43,27025,13082.3313759397,22.4987040074865
0,43,189560,6345.81557627907,7.86367387514942
0,43,6434,36584.3133757846,72.2978928863158
0,43,2187,37320.3277320009,76.2168889561539
0,43,680,45289.9577762837,93.294426684
0,43,64,57649.4248557251,123.730398
4,47,1071785,241534.964175066,147.833183858299
0,47,27025,12119.2490335012,21.9432929234324
0,47,189560,5376.26843486041,7.83318385829885
0,47,6434,37054.4301422161,72.8533039694737
0,47,2187,37213.3493782803,76.0389207711538
0,47,680,45445.8108306156,93.849837754
0,47,64,57917.0418404658,124.2858091
7,247,1071785,240538.444805146,147.789983002678
0,247,27025,11162.413835845,21.3878818403784
0,247,189560,4419.6811770953,7.78998300267816
0,247,6434,37545.2345433895,73.4087150523684
0,247,2187,37132.9374814659,75.726903215
0,247,680,45623.0037910723,94.405248844
0,247,64,58200.5738912523,124.8412202
20,302,1071785,239543.333054467,147.803671012356
0,302,27025,10213.581223524,20.8324707563243
0,302,189560,3486.73589898499,7.80367101235632
0,302,6434,38055.9261228531,73.9641261357895
0,302,2187,37079.2647090775,75.3666399353846
0,302,680,45821.2889827978,94.960659934
0,302,64,58499.7895262352,125.3966313
10,545,1071785,238551.775710473,147.993898742103
0,545,27025,9275.20748837693,20.2770596725135
0,545,189560,2602.97837003689,7.99389874210345
1,545,6434,38585.7151827011,74.5195372165789
0,545,2187,37052.4473150058,74.9821245680769
0,545,680,46040.3939007809,95.516071024
0,545,64,58814.4493768203,125.9520424
29,841,1071785,237574.611211832,148.118955723264
0,841,27025,8350.81862642139,19.7216485897838
0,841,189560,1840.67477705946,8.11895572326437
0,841,6434,39133.8260795565,75.0749483021053
0,841,2187,37052.5434482358,74.5676768269231
0,841,680,46280.0227448695,96.071482114
0,841,64,59144.3068771709,126.5074535
121,3237,1071785,236884.94440563,148.259262744632
13,3237,27025,7445.62510019246,19.1662375053243
2,3237,189560,1412.4750110908,8.25926274463218
8,3237,6434,39699.4999184788,75.6303593892105
2,3237,2187,37079.5529465767,74.0883303584615
3,3237,680,46539.8585199484,96.626893186
0,3237,64,59489.1092502027,127.0628645
406,11034,1071785,237690.269540331,148.729658519793
26,11034,27025,6567.56817105911,18.3331208804054
1,11034,189560,1611.36543683061,8.72965851979311
30,11034,6434,40281.9968713204,76.46347601
7,11034,2187,37133.417039491,73.26427123
1,11034,680,46819.5648114813,97.46000982
0,11034,64,59848.5982316252,127.8959812
369,13054,1071785,238670.852466699,149.538224234172
45,13054,27025,5729.13829171209,16.4004219111351
2,13054,189560,2278.66591810284,9.53822423417242
35,13054,6434,40880.5975821887,78.0778805560526
18,13054,2187,37214.0189591393,71.3203324369231
3,13054,680,47118.7875660934,99.074414348
0,13054,64,60222.5106199031,129.5103857
207,10886,1071785,239663.072192523,150.994604125908
40,10886,27025,4950.5100521421,17.3195266468378
5,10886,189560,3127.7055860039,10.994604125908
36,10886,6434,41494.6052710851,79.4881935213158
13,10886,2187,37321.1855372907,72.2690424761538
5,10886,680,47437.157584834,100.484727328
0,10886,64,60610.5796138234,130.9206987
3,308,1071785,240658.414807768,151.643613050161
0,308,27025,4264.56590636847,16.6519948763514
0,308,189560,4045.63538167516,11.6436130501609
1,308,6434,42123.3460444165,79.969890495
0,308,2187,37454.6886820507,71.63990676
0,308,680,47774.2919736444,100.966424308
0,308,64,61012.5349789894,131.4023957
22,551,1071785,241655.0381456,152.228061701299
0,551,27025,3722.89365132426,16.1404938478108
1,551,189560,4994.61589528179,12.2280617012988
1,551,6434,42766.1702325719,80.5253068363158
0,551,2187,37614.2478824038,71.0844904188461
0,551,680,48129.7964275556,101.521840636
0,551,64,61428.1041635788,131.957812
63,1568,1071785,242652.309747884,151.353071033701
1,1568,27025,3395.26042304868,14.7787346868649
32,1568,189560,5959.83255849726,11.3530710337011
8,1568,6434,43422.4522239544,79.6503161723684
3,1568,2187,37799.5331912285,69.4232838230769
0,1568,680,48503.2669771468,100.646849954
0,1568,64,61857.0127306541,131.0828213
6,53,1071785,243649.954591507,151.908482117218
1,53,27025,3345.15870573649,14.9606840964595
1,53,189560,6934.50875440584,11.9084821172184
0,53,6434,44091.5910370894,80.2057272534211
0,53,2187,38010.168272457,69.6540834092308
0,53,680,48894.2918429712,101.202261044
0,53,64,62298.9850953181,131.6382324
15,316,1071785,242567.643364867,147.824586394172
0,316,27025,12865.4191485441,22.6297529852703
0,316,189560,6203.02438766608,7.82458639417241
0,316,6434,35704.661948285,72.332775238421
0,316,2187,36333.6755085352,76.3250495353846
0,316,680,44306.6687125586,93.329309036
0,316,64,56690.1121804984,123.7652804
1,108,1071785,241577.513959719,148.518252372402
0,108,27025,11884.7620661594,22.9169659345405
0,108,189560,5206.94572936284,8.5182523724023
0,108,6434,36186.2141949329,73.7308313707895
0,108,2187,36223.783114367,77.0141363123077
1,108,680,44465.9707490975,94.727365154
0,108,64,56962.2398863474,125.1633365
13,484,1071785,240591.603856277,148.470546071655
0,484,27025,10907.3658965334,22.3615443437027
0,484,189560,4212.06703096801,8.47054607165517
0,484,6434,36688.6406687542,74.28625296
0,484,2187,36141.1693258896,76.7069966942308
0,484,680,44647.0550635529,95.282786748
0,484,64,57250.5042900574,125.7187581
6,123,1071785,239614.046957036,147.669422738299
0,123,27025,9934.19279174808,20.9634882127568
0,123,189560,3219.4999862352,7.66942273829885
