WithCov-Dist-ExpPow,,,,,,,,,NoCov-Dist-ExpPow,,,,,,,
,Cutoffs,AIC Far,AIC Near,Residual Far,Residual Near,AIC Sum,Residual Sum,,,Cutoffs,AIC Far,AIC Near,Residual Far,Residual Near,AIC Sum,Residual Sum
,0,4188.723275,0,28613.68088,0,4188.723275,28613.68088,,,0,4289.400954,0,11544.65594,0,4289.400954,11544.65594
,10,3667.005001,327.9155232,93705.71439,984.7225635,3994.920524,94690.43695,,,10,3724.072718,380.9766021,56610.77795,645.7737958,4105.04932,57256.55174
,20,3050.156412,880.7132942,304054.0874,1443.972768,3930.869706,305498.0601,,,20,3064.674798,933.314678,277300.7074,2522.198042,3997.989476,279822.9055
,30,2653.246713,1227.739818,308355.1004,8062.035195,3880.986531,316417.1356,,,30,2652.379108,1293.0939,399767.8859,4882.228324,3945.473008,404650.1142
,40,1982.623918,1937.676166,151799.7248,11996.74908,3920.300084,163796.4739,,,40,1984.445584,2022.234104,216800.6593,6203.373258,4006.679689,223004.0326
,50,1153.416177,2800.086018,6786.171335,29540.11596,3953.502196,36326.28729,,,50,1163.413822,2873.575905,6983.560529,14357.60164,4036.989728,21341.16217
,60,1107.049541,2858.892887,2186.944918,35188.39992,3965.942428,37375.34484,,,60,1122.958898,2925.291468,534.8982325,17110.6244,4048.250366,17645.52264
,100,1070.933777,2892.316918,285.4175332,42023.31242,3963.250695,42308.72996,,,100,1095.394747,2956.005691,287.2411807,19641.58147,4051.400439,19928.82265
,150,1070.933777,2892.316918,285.4175332,42023.31242,3963.250695,42308.72996,,,150,1095.394747,2956.005691,287.2411807,19641.58147,4051.400439,19928.82265
,200,1070.933777,2892.316918,285.4175332,42023.31242,3963.250695,42308.72996,,,200,1095.394747,2956.005691,287.2411807,19641.58147,4051.400439,19928.82265
,220,1070.933777,2892.316918,285.4175332,42023.31242,3963.250695,42308.72996,,,220,1095.394747,2956.005691,287.2411807,19641.58147,4051.400439,19928.82265
,240,783.2085065,3292.968862,257.5285421,42069.40164,4076.177368,42326.93018,,,240,793.3911807,3362.614237,262.2931251,17806.67529,4156.005417,18068.96841
,,,,,,,,,,,,,,,,
WIthCov-Time-ExpPow,,,,,,,,,NoCov-Time-ExpPow,,,,,,,
,Cutoffs,AIC Far,AIC Near,Residual Far,Residual Near,AIC Sum,Residual Sum,,,Cutoffs,AIC Far,AIC Near,Residual Far,Residual Near,AIC Sum,Residual Sum
,0,4167.644829,0,25982.3788,0,4167.644829,25982.3788,,,0,4229.48492,0,10217.0856,0,4229.48492,10217.0856
,50,3012.977927,1083.583166,34578.99596,1545.095335,4096.561093,36124.0913,,,50,3101.28637,1101.90547,8583.67814,2893.82414,4203.19183,11477.5023
,100,512.4596653,3618.009486,10946.45565,10160.32029,4130.469151,21106.77593,,,100,531.86368,3716.12328,10271.7971,5092.31632,4247.98696,15364.1135
,,,,,,,,,,150,104.651584,4164.57703,44.0329517,9346.26889,4269.22861,9390.30184
,,,,,,,,,,200,49.5525369,4211.0728,12462.7286,9521.73626,4260.62533,21984.4649
,,,,,,,,,,,,,,,,
WithCov-Dist-ExpPow-Zinf,,,,,,,,,NoCov-Dist-ExpPow-Zinf,,,,,,,
,Error,,,,,,,,,Cutoffs,AIC Far,AIC Near,Residual Far,Residual Near,AIC Sum,Residual Sum
,,,,,,,,,,0,4183.242141,0,3208058.52,0,4175.242141,3208058.52
,,,,,,,,,,10,1830.03783,187.9448084,633697.2986,24276.96562,2009.982638,657974.2642
,,,,,,,,,,20,1499.961813,459.5457152,195211.4234,52447.08258,1951.507528,247658.506
,,,,,,,,,,30,1319.311811,639.1962879,200806.7446,57330.89774,1950.508099,258137.6424
,,,,,,,,,,40,985.4769569,991.6327987,206695.0049,106443.7709,1969.109756,313138.7758
,,,,,,,,,,50,580.1970099,1407.486127,136149.9319,189605.9293,1979.683137,325755.8612
,,,,,,,,,,60,560.4035201,1432.401907,131561.6686,214744.3977,1984.805427,346306.0663
,,,,,,,,,,,,,,,,
WIthCov-Time-ExpPow-Zinf,,,,,,,,,NoCov-Time-ExpPow-Zinf,,,,,,,
,Error,,,,,,,,,Cutoffs,AIC Far,AIC Near,Residual Far,Residual Near,AIC Sum,Residual Sum
,,,,,,,,,,0,4181.933386,8,356409.033,0,4181.933386,356409.033
,,,,,,,,,,50,1534.195837,537.0864281,307909.6384,75637.37989,2063.282265,383547.0183
,,,,,,,,,,100,261.9129915,1840.444594,33051.12409,362742.2193,2094.357586,395793.3434
,,,,,,,,,,150,54.83144084,2065.826717,11415.03797,399480.2085,2112.658158,410895.2464
,,,,,,,,,,200,23.96022168,2076.633386,8.625540766,513428.5704,2092.593607,513437.196
,,,,,,,,,,,,,,,,
Multinomial Regression,,,,,,,,,,,,,,,,
,AIC,Residual Sum,,,,,,,,,,,,,,
,16234.41,38226.22,,,,,,,,,,,,,,
